time_,price_avg
2021-06-27 12:57:30+03,33131.700849999994
2021-06-27 12:58:00+03,33108.42845
2021-06-27 12:58:30+03,33137.47
2021-06-27 12:59:00+03,33103.827300000004
2021-06-27 12:59:30+03,33144.13585
2021-06-27 13:00:00+03,33117.41245
2021-06-27 13:00:30+03,33142.4141
2021-06-27 13:01:00+03,33194.0025
2021-06-27 13:01:30+03,33144.87925
2021-06-27 13:02:00+03,33163.66165
2021-06-27 13:02:30+03,33147.81715
2021-06-27 13:03:00+03,33153.90715
2021-06-27 13:03:30+03,33166.0125
2021-06-27 13:04:00+03,33107.2962
2021-06-27 13:04:30+03,33109.6275
2021-06-27 13:05:00+03,33106.72515
2021-06-27 13:05:30+03,33129.18585
2021-06-27 13:06:00+03,33121.9545
2021-06-27 13:06:30+03,33130.754199999996
2021-06-27 13:07:00+03,33133.5842
2021-06-27 13:07:30+03,33162.12415
2021-06-27 13:08:00+03,33154.03375
2021-06-27 13:08:30+03,33179.049150000006
2021-06-27 13:09:00+03,33151.549450000006
2021-06-27 13:09:30+03,33167.2498
2021-06-27 13:10:00+03,33180.415850000005
2021-06-27 13:10:30+03,33157.27205
2021-06-27 13:11:00+03,33158.667050000004
2021-06-27 13:11:30+03,33182.001650000006
2021-06-27 13:12:00+03,33161.619900000005
2021-06-27 13:12:30+03,33197.5275
2021-06-27 13:13:00+03,33160.06895
2021-06-27 13:13:30+03,33159.965
2021-06-27 13:14:00+03,33190.22
2021-06-27 13:14:30+03,33222.24375
2021-06-27 13:15:00+03,33248.02415
2021-06-27 13:15:30+03,33248.0968
2021-06-27 13:16:00+03,33290.320850000004
2021-06-27 13:16:30+03,33237.44795
2021-06-27 13:17:00+03,33261.35665
2021-06-27 13:17:30+03,33268.4552
2021-06-27 13:18:00+03,33272.42665
2021-06-27 13:18:30+03,33255.181899999996
2021-06-27 13:19:00+03,33262.85415
2021-06-27 13:19:30+03,33202.398700000005
2021-06-27 13:20:00+03,33212.73585
2021-06-27 13:20:30+03,33175.32185
2021-06-27 13:21:00+03,33194.6075
2021-06-27 13:21:30+03,33215.8
2021-06-27 13:22:00+03,33206.364400000006
2021-06-27 13:22:30+03,33220.229999999996
2021-06-27 13:23:00+03,33224.59835
2021-06-27 13:23:30+03,33263.28835
2021-06-27 13:24:00+03,33253.84835
2021-06-27 13:24:30+03,33255.135850000006
2021-06-27 13:25:00+03,33233.331399999995
2021-06-27 13:25:30+03,33244.62
2021-06-27 13:26:00+03,33212.54015
2021-06-27 13:26:30+03,33231.39585
2021-06-27 13:27:00+03,33218.34565
2021-06-27 13:27:30+03,33235.39
2021-06-27 13:28:00+03,33187.90585
2021-06-27 13:28:30+03,33160.47885
2021-06-27 13:29:00+03,33174.45
2021-06-27 13:29:30+03,33173.755000000005
2021-06-27 13:30:00+03,33153.1094
2021-06-27 13:30:30+03,33191.7325
2021-06-27 13:31:00+03,33231.455
2021-06-27 13:31:30+03,33207.05035
2021-06-27 13:32:00+03,33228.770000000004
2021-06-27 13:32:30+03,33242.9214
2021-06-27 13:33:00+03,33283.25
2021-06-27 13:33:30+03,33291.109800000006
2021-06-27 13:34:00+03,33308.320850000004
2021-06-27 13:34:30+03,33288.16855
2021-06-27 13:35:00+03,33306.957500000004
2021-06-27 13:35:30+03,33381.957299999995
2021-06-27 13:36:00+03,33468.01
2021-06-27 13:36:30+03,33477.138349999994
2021-06-27 13:37:00+03,33428.192800000004
2021-06-27 13:37:30+03,33445.704150000005
2021-06-27 13:38:00+03,33431.55565
2021-06-27 13:38:30+03,33452.31
2021-06-27 13:39:00+03,33417.13425
2021-06-27 13:39:30+03,33432.00335
2021-06-27 13:40:00+03,33399.5242
2021-06-27 13:40:30+03,33442.295
2021-06-27 13:41:00+03,33435.60865
2021-06-27 13:41:30+03,33438.743350000004
2021-06-27 13:42:00+03,33457.1753
2021-06-27 13:42:30+03,33468.21665
2021-06-27 13:43:00+03,33462.707500000004
2021-06-27 13:43:30+03,33463.112649999995
2021-06-27 13:44:00+03,33465.19265
2021-06-27 13:44:30+03,33483.927500000005
2021-06-27 13:45:00+03,33470.51165
2021-06-27 13:45:30+03,33496.3235
2021-06-27 13:46:00+03,33492.3585
2021-06-27 13:46:30+03,33488.11585
2021-06-27 13:47:00+03,33453.92965
2021-06-27 13:47:30+03,33454.645300000004
2021-06-27 13:48:00+03,33456.554149999996
2021-06-27 13:48:30+03,33448.34725
2021-06-27 13:49:00+03,33487.73835
2021-06-27 13:49:30+03,33471.85245
2021-06-27 13:50:00+03,33491.650850000005
2021-06-27 13:50:30+03,33476.670849999995
2021-06-27 13:51:00+03,33422.64945
2021-06-27 13:51:30+03,33433.065
2021-06-27 13:52:00+03,33383.10415
2021-06-27 13:52:30+03,33391.272450000004
2021-06-27 13:53:00+03,33410.385850000006
2021-06-27 13:53:30+03,33390.9524
2021-06-27 13:54:00+03,33423.890849999996
2021-06-27 13:54:30+03,33393.570550000004
2021-06-27 13:55:00+03,33414.54335
2021-06-27 13:55:30+03,33376.816049999994
2021-06-27 13:56:00+03,33387.47665
2021-06-27 13:56:30+03,33379.616649999996
2021-06-27 13:57:00+03,33400.03
2021-06-27 13:57:30+03,33397.37835
2021-06-27 13:58:00+03,33372.2968
2021-06-27 13:58:30+03,33380.58085
2021-06-27 13:59:00+03,33371.16795
2021-06-27 13:59:30+03,33344.9825
