time_,neg,pos,neu
2021-06-27 12:57:30+03,0,0,2
2021-06-27 12:58:00+03,0,3,5
2021-06-27 12:58:30+03,1,1,1
2021-06-27 12:59:00+03,0,3,5
2021-06-27 12:59:30+03,0,1,1
2021-06-27 13:00:00+03,2,2,12
2021-06-27 13:00:30+03,1,3,4
2021-06-27 13:01:00+03,0,1,0
2021-06-27 13:01:30+03,1,1,3
2021-06-27 13:02:00+03,1,2,3
2021-06-27 13:02:30+03,0,4,0
2021-06-27 13:03:00+03,1,0,3
2021-06-27 13:03:30+03,0,1,0
2021-06-27 13:04:00+03,0,0,3
2021-06-27 13:04:30+03,0,3,3
2021-06-27 13:05:00+03,4,5,3
2021-06-27 13:05:30+03,1,1,3
2021-06-27 13:06:00+03,3,3,5
2021-06-27 13:06:30+03,1,4,4
2021-06-27 13:07:00+03,0,2,5
2021-06-27 13:07:30+03,1,4,4
2021-06-27 13:08:00+03,0,3,5
2021-06-27 13:08:30+03,0,0,6
2021-06-27 13:09:00+03,1,1,8
2021-06-27 13:09:30+03,1,2,5
2021-06-27 13:10:00+03,2,3,3
2021-06-27 13:10:30+03,3,2,2
2021-06-27 13:11:00+03,0,0,5
2021-06-27 13:11:30+03,0,0,2
2021-06-27 13:12:00+03,0,1,6
2021-06-27 13:12:30+03,1,0,4
2021-06-27 13:13:00+03,0,3,4
2021-06-27 13:13:30+03,1,0,2
2021-06-27 13:14:00+03,1,1,3
2021-06-27 13:14:30+03,1,1,3
2021-06-27 13:15:00+03,6,1,9
2021-06-27 13:15:30+03,3,1,3
2021-06-27 13:16:00+03,0,2,6
2021-06-27 13:16:30+03,2,0,6
2021-06-27 13:17:00+03,0,1,4
2021-06-27 13:17:30+03,0,2,1
2021-06-27 13:18:00+03,0,1,6
2021-06-27 13:18:30+03,0,1,3
2021-06-27 13:19:00+03,0,1,2
2021-06-27 13:19:30+03,0,2,5
2021-06-27 13:20:00+03,0,1,7
2021-06-27 13:20:30+03,1,3,7
2021-06-27 13:21:00+03,2,4,8
2021-06-27 13:21:30+03,0,2,4
2021-06-27 13:22:00+03,1,0,2
2021-06-27 13:22:30+03,0,2,0
2021-06-27 13:23:00+03,1,4,2
2021-06-27 13:23:30+03,2,3,2
2021-06-27 13:24:00+03,0,1,4
2021-06-27 13:24:30+03,1,2,1
2021-06-27 13:25:00+03,1,0,2
2021-06-27 13:25:30+03,3,1,3
2021-06-27 13:26:00+03,2,3,3
2021-06-27 13:26:30+03,1,1,0
2021-06-27 13:27:00+03,1,1,6
2021-06-27 13:27:30+03,0,4,2
2021-06-27 13:28:00+03,0,0,1
2021-06-27 13:28:30+03,0,0,1
2021-06-27 13:29:00+03,0,1,6
2021-06-27 13:29:30+03,0,0,3
2021-06-27 13:30:00+03,0,2,13
2021-06-27 13:30:30+03,0,0,3
2021-06-27 13:31:00+03,0,0,4
2021-06-27 13:31:30+03,1,0,0
2021-06-27 13:32:00+03,4,1,1
2021-06-27 13:32:30+03,0,3,4
2021-06-27 13:33:00+03,0,0,6
2021-06-27 13:33:30+03,0,1,1
2021-06-27 13:34:00+03,1,3,2
2021-06-27 13:34:30+03,1,1,2
2021-06-27 13:35:00+03,3,3,3
2021-06-27 13:35:30+03,2,1,2
2021-06-27 13:36:00+03,0,1,4
2021-06-27 13:36:30+03,0,4,1
2021-06-27 13:37:00+03,0,0,1
2021-06-27 13:37:30+03,2,0,2
2021-06-27 13:38:00+03,0,2,1
2021-06-27 13:38:30+03,0,2,1
2021-06-27 13:39:00+03,0,1,7
2021-06-27 13:39:30+03,0,0,4
2021-06-27 13:40:00+03,1,5,5
2021-06-27 13:40:30+03,1,4,7
2021-06-27 13:41:00+03,0,5,1
2021-06-27 13:41:30+03,0,5,3
2021-06-27 13:42:00+03,0,0,5
2021-06-27 13:42:30+03,1,4,7
2021-06-27 13:43:00+03,1,3,1
2021-06-27 13:43:30+03,1,2,4
2021-06-27 13:44:00+03,0,3,2
2021-06-27 13:44:30+03,0,0,6
2021-06-27 13:45:00+03,1,2,10
2021-06-27 13:45:30+03,2,2,4
2021-06-27 13:46:00+03,0,2,3
2021-06-27 13:46:30+03,1,3,3
2021-06-27 13:47:00+03,0,1,3
2021-06-27 13:47:30+03,1,3,2
2021-06-27 13:48:00+03,1,1,1
2021-06-27 13:48:30+03,0,2,2
2021-06-27 13:49:00+03,0,0,4
2021-06-27 13:49:30+03,1,2,0
2021-06-27 13:50:00+03,0,2,3
2021-06-27 13:50:30+03,1,0,2
2021-06-27 13:51:00+03,0,3,3
2021-06-27 13:51:30+03,0,1,3
2021-06-27 13:52:00+03,0,1,3
2021-06-27 13:52:30+03,2,1,2
2021-06-27 13:53:00+03,2,1,5
2021-06-27 13:53:30+03,0,1,2
2021-06-27 13:54:00+03,1,3,6
2021-06-27 13:54:30+03,0,1,5
2021-06-27 13:55:00+03,1,1,4
2021-06-27 13:55:30+03,0,1,6
2021-06-27 13:56:00+03,1,2,3
2021-06-27 13:56:30+03,0,1,1
2021-06-27 13:57:00+03,2,1,7
2021-06-27 13:57:30+03,0,1,0
