id_,created_at,recommendation,price
1014,2021-07-10 00:46:00,SELL,33927.95
1015,2021-07-10 01:08:30,BUY,33899.76
1016,2021-07-10 01:45:30,SELL,34013.7083
1017,2021-07-10 01:52:00,BUY,33935.0513
1018,2021-07-10 03:35:30,SELL,34132.8817
1020,2021-07-10 13:59:00,BUY,33647.081025
1021,2021-07-10 14:32:00,SELL,33752.77055
1022,2021-07-10 14:53:00,BUY,33813.3076
1026,2021-07-10 18:59:00,SELL,33877.6987
1027,2021-07-10 19:00:00,BUY,33888.788100000005
1028,2021-07-10 19:32:00,SELL,34123.8472
1030,2021-07-10 22:21:30,BUY,33504.01165
1031,2021-07-11 01:59:00,SELL,33653.856999999996
1032,2021-07-11 02:26:00,BUY,33632.718250000005
1033,2021-07-11 04:36:30,SELL,33714.8417
1034,2021-07-11 04:55:30,BUY,33661.79
1035,2021-07-11 12:34:00,SELL,33783.76
1036,2021-07-11 12:50:30,BUY,33757.64
1037,2021-07-11 15:01:30,SELL,33853.9475
1038,2021-07-11 15:06:00,BUY,33778.05675
1039,2021-07-11 17:03:30,SELL,33978.63
1040,2021-07-11 17:13:00,BUY,33880.79
1041,2021-07-11 18:16:00,SELL,33987.7505
1042,2021-07-11 18:23:30,BUY,33945.978866666665
1043,2021-07-12 00:37:30,SELL,34538.650466666666
1046,2021-07-12 17:29:00,BUY,33476.56
